HUC	BASIN_ID
01	01013500
01	01022500
01	01030500
01	01031500
01	01047000
01	01052500
01	01054200
01	01055000
01	01057000
01	01073000
01	01078000
01	01118300
01	01121000
01	01123000
01	01134500
01	01137500
01	01139000
01	01139800
01	01142500
01	01144000
01	01162500
01	01169000
01	01170100
01	01181000
01	01187300
01	04296000
02	01333000
02	01350000
02	01350140
02	01365000
02	01411300
02	01413500
02	01414500
02	01415000
02	01423000
02	01435000
02	01439500
02	01440000
02	01440400
02	01451800
02	01466500
02	01484100
02	01485500
02	01486000
02	01487000
02	01491000
02	01510000
02	01516500
02	01532000
02	01539000
02	01542810
02	01543000
02	01543500
02	01544500
02	01545600
02	01547700
02	01548500
02	01549500
02	01550000
02	01552000
02	01552500
02	01557500
02	01567500
02	01568000
02	01580000
02	01583500
02	01591400
02	01596500
02	01605500
02	01606500
02	01620500
02	01632000
02	01632900
02	01634500
02	01638480
02	01639500
02	01644000
02	01658500
02	01664000
02	01666500
02	01667500
02	01669000
02	02011400
02	02011460
02	02013000
02	02014000
02	02015700
02	02016000
02	02017500
02	02018000
02	02027000
02	02027500
02	02028500
02	02038850
03	02046000
03	02051500
03	02053200
03	02053800
03	02055100
03	02056900
03	02059500
03	02064000
03	02065500
03	02069700
03	02070000
03	02074500
03	02077200
03	02081500
03	02082950
03	02092500
03	02102908
03	02108000
03	02111180
03	02111500
03	02112120
03	02112360
03	02118500
03	02125000
03	02128000
03	02137727
03	02143000
03	02143040
03	02149000
03	02152100
03	02177000
03	02178400
03	02202600
03	02212600
03	02221525
03	02231000
03	02231342
03	02245500
03	02246000
03	02296500
03	02297155
03	02297310
03	02298123
03	02298608
03	02299950
03	02300700
03	02312200
03	02314500
03	02315500
03	02324400
03	02327100
03	02342933
03	02349900
03	02361000
03	02369800
03	02371500
03	02372250
03	02374500
03	02381600
03	02395120
03	02408540
03	02422500
03	02430085
03	02430615
03	02450250
03	02464000
03	02465493
03	02469800
03	02472000
03	02472500
03	02479155
03	02479300
03	02479560
03	02481000
03	02481510
04	04015330
04	04024430
04	04027000
04	04040500
04	04043050
04	04045500
04	04056500
04	04057510
04	04057800
04	04059500
04	04063700
04	04074950
04	04105700
04	04122200
04	04122500
04	04124000
04	04127918
04	04127997
04	04161580
04	04185000
04	04196800
04	04197100
04	04213000
04	04216418
04	04221000
04	04224775
04	04233000
04	04256000
05	03010655
05	03011800
05	03015500
05	03021350
05	03026500
05	03028000
05	03049000
05	03049800
05	03069500
05	03070500
05	03076600
05	03078000
05	03140000
05	03144000
05	03164000
05	03165000
05	03170000
05	03173000
05	03180500
05	03182500
05	03186500
05	03213700
05	03237280
05	03237500
05	03238500
05	03241500
05	03280700
05	03281500
05	03285000
05	03291780
05	03340800
05	03346000
05	03357350
05	03364500
05	03366500
05	03368000
05	03384450
06	03439000
06	03455500
06	03456500
06	03460000
06	03463300
06	03471500
06	03473000
06	03479000
06	03488000
06	03498500
06	03500000
06	03500240
06	03504000
06	03574500
06	03592718
06	03604000
07	05291000
07	05362000
07	05393500
07	05399500
07	05408000
07	05412500
07	05413500
